timestamp,ticker,action,quantity,exchange,price,commission
2013-01-31 00:00:00,AMZN,SLD,3066590113433878939040698211589247077167847498752653922170127656826590229077128786413274999025234915997478650636712256522416962303461150234187441111040,ARCA,265.5,1.5332950567169394e+148
2013-02-28 00:00:00,AAPL,SLD,2636231343434576202390057839452132194136883849549568566506334623506337147873608276884019898381033060055176225267127536245226236039325247312476522938368,ARCA,441.4,1.3181156717172881e+148
2013-02-28 00:00:00,AMZN,SLD,363857670450340795555768126660112822513138218403383866901733765533366238900219018699478854788850440591846853989085334322052000270297543033410000257024,ARCA,264.27,1.819288352251704e+147
2013-04-30 00:00:00,AAPL,SLD,164830461426456675839156039431801049306823665877521230807749510895112656425199648505819428888441625480839850946764398909085404924284198734761362980864,ARCA,442.78,8.241523071322834e+146
2013-04-30 00:00:00,AMZN,BOT,26952203640752701646114889916563125827449257033585633726227743697382622852549240173959912165894555315129818318502115771877647807197869596504936677376,ARCA,253.81,1.3476101820376352e+146
2013-05-31 00:00:00,AAPL,BOT,534714476184542901520209975181590372467370937413384209276565987576773635773666874882397425687910839694436445082442313201782670610774062545277108092928,ARCA,449.735,2.6735723809227145e+147
2013-05-31 00:00:00,AMZN,SLD,21836433016059136352090252134629764672629115429786681659667500231814078544774179916632057723482158392732593779637504883103640530681816502704430645248,ARCA,269.2,1.0918216508029569e+146
2013-07-31 00:00:00,AAPL,BOT,152605259846248823299185181524047229344895425961695421692106322110526665475877099190729469451193791809312540050299245270566446836690479033726575575040,ARCA,452.53,7.630262992312441e+146
2013-07-31 00:00:00,AMZN,SLD,55066143935460865438619372969615929722192210834014621775487209080348245146365148559962939700472213813351404165565163053078487269831675878179176710144,ARCA,301.22,2.7533071967730432e+146
2013-09-30 00:00:00,AAPL,BOT,1348010788484439530453070151642718769085921602151178485724866675389115864922804328500426310346894832541545783623702071595524330587447968271738402242560,ARCA,476.75,6.740053942422198e+147
2013-09-30 00:00:00,AMZN,BOT,134704526650121643388617464867547085086215730120622864944587639047901812680650138772532705148088167698934834893971139122982496634698330207350169796608,ARCA,312.64,6.735226332506083e+146
2013-10-31 00:00:00,AAPL,BOT,2748910162577747519066003947265849518831732283885414500718341250132365222033067891108757243073333711287691302514431965388338850727607049395581344546816,ARCA,522.702,1.3744550812888737e+148
2013-10-31 00:00:00,AMZN,BOT,351776146993105719524575357670973003970355755756218135548350540694756837293645201473138673388163814932979539517773947167009203222680439695815508754432,ARCA,364.03,1.7588807349655285e+147
2013-12-31 00:00:00,AAPL,BOT,3061698996933359527667292505030338866993531252731418555490198073360249116791727830397831548871399505966817381615248987040684192585521554709225337257984,ARCA,561.02,1.5308494984666798e+148
2013-12-31 00:00:00,AMZN,BOT,466648948927946392261872779234846481764398557433528210589750789854019046594872902271419891452815550198652626763592762839577237967924619813272521015296,ARCA,398.79,2.333244744639732e+147
2014-01-31 00:00:00,AAPL,SLD,5401626267415676077084127707288532912017021247057856425457507179531654349712778285325491991119516647800980577533268601625345776313800767582960594452480,ARCA,500.6,2.700813133707838e+148
2014-01-31 00:00:00,AMZN,SLD,877989307391385838896634865679012232841293523046179977183991221356954572061768914156148900393786304980566507539354848425986821800023565061243866710016,ARCA,358.69,4.389946536956929e+147
2014-02-28 00:00:00,AAPL,SLD,95317020439747513733937636529884314802325265569951834000079479639885946573341392297375126218287587506175275723891724377042731720122620637922845523968,ARCA,526.24,4.765851021987376e+146
2014-02-28 00:00:00,AMZN,BOT,144044640625260567758441640842994996032358560329990811708640920624552107405180686586781434276061305401973993183963524975403770201328520460995198451712,ARCA,362.1,7.2022320312630285e+146
2014-03-31 00:00:00,AAPL,BOT,416975918844366185277167677510093769023818477045010853988472513809988293746984024537386368968291239974546814127179962204909760959072992163641228787712,ARCA,536.74,2.084879594221831e+147
2014-03-31 00:00:00,AMZN,BOT,178876182702598328306839699112250569636499116928065140027602908175432032107897328981039797136959930306178075892971391991219672956878279508258329722880,ARCA,336.365,8.943809135129917e+146
2014-04-30 00:00:00,AAPL,BOT,2727828718878154438694509051474060150002885036230110624612433053058288234077102989549472300123260657385960834288929235870495679362455043804021680766976,ARCA,590.09,1.3639143594390773e+148
2014-04-30 00:00:00,AMZN,BOT,978761361968939531531361809789605013944473861457353736105349733158755193557869343474763556749885323215331405035995981293285865266880181946079233703936,ARCA,304.13,4.893806809844698e+147
